canonical_origin,etld1,enroll_url,cluster_size,snapshot_count,source
https://ente.io,ente.io,,1,0,community|community:passkeyindex.io|community:passkeys.directory
https://epayslips.co.uk,epayslips.co.uk,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory
https://erau.edu,erau.edu,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory|community:passkeys.2stable.com
https://eslgaming.com,eslgaming.com,,2,0,community|community:2fa.directory|community:enpass.io|community:keepersecurity.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://eub.no,eub.no,,1,0,community
https://europa.eu,europa.eu,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory|community:passkeys.2stable.com
https://example.com,example.com,,1,0,community|community:passkeys.2stable.com
https://facebook.com,facebook.com,,133,1,webauthn|webauthn-related
https://fairfaxcounty.gov,fairfaxcounty.gov,,1,0,community|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://fanaposten.no,fanaposten.no,,1,0,community
https://fastex.com,fastex.com,,1,0,community
https://fastexus.com,fastexus.com,,1,0,community
https://fastmail.com,fastmail.com,,1,0,community|community:2fa.directory|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://files.com,files.com,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory
https://finnmarkdagblad.no,finnmarkdagblad.no,,1,0,community
https://finnmarkdebatten.no,finnmarkdebatten.no,,1,0,community
https://finnmarksposten.no,finnmarksposten.no,,1,0,community
https://finom.co,finom.co,,1,0,community|community:enpass.io|community:keepersecurity.com|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://fintual.cl,fintual.cl,,1,0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.directory
https://firdaposten.no,firdaposten.no,,1,0,community
https://fireportal.cz,fireportal.cz,,1,0,community
https://fleeps.co,fleeps.co,,1,0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://flightschoolbooking.com,flightschoolbooking.com,,1,0,community
https://flux.nl,flux.nl,,1,0,community
https://forgejo.org,forgejo.org,,1,0,community|community:passkeyindex.io
https://forgerock.com,forgerock.com,,1,0,community
https://formx.ai,formx.ai,,1,0,community|community:enpass.io|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://fortrade.com,fortrade.com,,1,0,community
https://forwardemail.net,forwardemail.net,,1,0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://fragdenstaat.de,fragdenstaat.de,,1,0,community|community:2fa.directory|community:enpass.io|community:passkeys.2fa.directory
https://fragrance.moe,fragrance.moe,,1,0,community
https://freeprints.com,freeprints.com,,1,0,community|community:enpass.io|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://freetaxusa.com,freetaxusa.com,https://auth.freetaxusa.com/passkey,3,1,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.directory|endpoints
https://frohnmeyer-wds.de,frohnmeyer-wds.de,,1,0,community
https://frontegg.com,frontegg.com,,1,0,community|community:passkeys-directory.dashlane.com
https://frostingen.no,frostingen.no,,1,0,community
https://fusionauth.io,fusionauth.io,,1,0,community|community:enpass.io|community:keepersecurity.com|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.directory
https://gameindy.com,gameindy.com,,1,0,community
https://gandi.net,gandi.net,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory
https://gatech.edu,gatech.edu,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory|community:passkeys.2stable.com
https://gbnett.no,gbnett.no,,1,0,community
https://gemini.com,gemini.com,,1,0,community|community:2fa.directory|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://georgetown.edu,georgetown.edu,,1,0,community|community:2fa.directory
https://getadmiral.com,getadmiral.com,,1,0,community
https://getextendly.com,getextendly.com,,1,0,community
https://getprismm.com,getprismm.com,,1,0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.directory
https://ggpass.com,ggpass.com,,153,1,webauthn|webauthn-related
https://gitea.com,gitea.com,,1,0,community|community:passkeyindex.io
https://github.com,github.com,,1,0,community|community:2fa.directory|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io
https://gitlab.com,gitlab.com,,1,0,community|community:2fa.directory|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.directory
https://gjengangeren.no,gjengangeren.no,,1,0,community
https://glauca.digital,glauca.digital,,1,0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.directory
https://gmod-integration.com,gmod-integration.com,,1,0,community
https://goauthentik.io,goauthentik.io,,1,0,community|community:passkeyindex.io
https://godaddy.com,godaddy.com,,1,0,community|community:2fa.directory|community:fidoalliance.org|community:hideez.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.directory
https://goteleport.com,goteleport.com,,1,0,community|community:2fa.directory|community:hideez.com|community:passkeys.2fa.directory
https://grab.com,grab.com,,1,0,community|community:keepersecurity.com|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.directory
https://guildofwriters.org,guildofwriters.org,,1,0,community
https://hadeland.no,hadeland.no,,1,0,community
https://haeppie.com,haeppie.com,,1,0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://hammerfestingen.no,hammerfestingen.no,,1,0,community
