canonical_origin,etld1,enroll_url,cluster_size,snapshot_count,source,crux_rank,crux_bucket
https://o2.pl,o2.pl,,1.0,0.0,community|community:2fa.directory|community:passkeys.2fa.directory|community:passkeys.2stable.com,5000,top 5k
https://sapo.pt,sapo.pt,,1.0,0.0,community|community:2fa.directory|community:passkeys.2fa.directory,5000,top 5k
https://snapchat.com,snapchat.com,,1.0,0.0,community|community:keepersecurity.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io,5000,top 5k
https://va.gov,va.gov,,1.0,0.0,community|community:2fa.directory|community:passkeys.2fa.directory,5000,top 5k
https://vercel.com,vercel.com,,1.0,0.0,community|community:enpass.io|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io,5000,top 5k
https://wellsfargo.com,wellsfargo.com,,1.0,0.0,community|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.directory,5000,top 5k
https://kayak.com,kayak.com,https://www.kayak.com/profile/account/passkeys,67.0,1.0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io|endpoints|webauthn|webauthn-related,10000,top 10k
https://codere.mx,codere.mx,,6.0,1.0,community|webauthn|webauthn-related,10000,top 10k
https://softbank.jp,softbank.jp,,5.0,1.0,community|webauthn|webauthn-related,10000,top 10k
https://ruten.com.tw,ruten.com.tw,,4.0,1.0,community|webauthn|webauthn-related,10000,top 10k
https://www.mercadopago.com.mx,mercadopago.com.mx,,4.0,1.0,webauthn|webauthn-related,10000,top 10k
https://auth.aib.ie,aib.ie,,3.0,1.0,webauthn|webauthn-related,10000,top 10k
https://login.mtb.com,mtb.com,,1.0,1.0,webauthn,10000,top 10k
https://www.ebay.es,ebay.es,https://accounts.ebay.es/acctsec/manage/passkeys/create,1.0,1.0,endpoints,10000,top 10k
https://adidas.com,adidas.com,,1.0,0.0,community,10000,top 10k
https://affirm.com,affirm.com,,1.0,0.0,community|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io,10000,top 10k
https://ah.nl,ah.nl,,1.0,0.0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,10000,top 10k
https://atlassian.com,atlassian.com,,1.0,0.0,community|community:2fa.directory|community:hideez.com|community:passkeys.2fa.directory|community:passkeys.directory,10000,top 10k
https://battle.net,battle.net,,1.0,0.0,community|community:passkeys.directory,10000,top 10k
https://boursobank.com,boursobank.com,,1.0,0.0,community|community:passkeyindex.io|community:passkeys-directory.dashlane.com,10000,top 10k
https://britishairways.com,britishairways.com,,1.0,0.0,community|community:2fa.directory,10000,top 10k
https://citi.com,citi.com,,1.0,0.0,community|community:fidoalliance.org|community:passkeyindex.io,10000,top 10k
https://deakin.edu.au,deakin.edu.au,,1.0,0.0,community|community:2fa.directory|community:passkeys.2fa.directory,10000,top 10k
https://ee.co.uk,ee.co.uk,,1.0,0.0,community|community:passkeys.2stable.com|community:passkeys.directory,10000,top 10k
https://godaddy.com,godaddy.com,,1.0,0.0,community|community:2fa.directory|community:fidoalliance.org|community:hideez.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.directory,10000,top 10k
https://hatena.ne.jp,hatena.ne.jp,,1.0,0.0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,10000,top 10k
https://hyatt.com,hyatt.com,,1.0,0.0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,10000,top 10k
https://instacart.com,instacart.com,,1.0,0.0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,10000,top 10k
https://lululemon.com,lululemon.com,,1.0,0.0,community|community:passkeys.2stable.com|community:passkeys.directory,10000,top 10k
https://msu.edu,msu.edu,,1.0,0.0,community|community:2fa.directory|community:passkeys.2fa.directory|community:passkeys.2stable.com,10000,top 10k
https://muni.cz,muni.cz,,1.0,0.0,community|community:2fa.directory|community:passkeys.2fa.directory,10000,top 10k
